Member Name,Experiment,Hyperparameter Set,Noted Behavior
Raissa,raissa_exp01_cnn_baseline,"lr=0.0001, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.1",raissa_exp01_cnn_baseline: CNN configuration for Boxing; compare stability and final reward against baseline. Mean reward: 1.20 +/- 3.19.
Raissa,raissa_exp02_mlp_baseline,"lr=0.0001, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.1",raissa_exp02_mlp_baseline: MLP ablation on Boxing; typically weaker than CNN on pixel observations. Mean reward: -5.00 +/- 7.87.
Raissa,raissa_exp03_cnn_low_lr,"lr=5e-05, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.1",raissa_exp03_cnn_low_lr: CNN configuration for Boxing; compare stability and final reward against baseline. Mean reward: 5.40 +/- 3.88.
Raissa,raissa_exp04_mlp_low_lr,"lr=5e-05, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.1",raissa_exp04_mlp_low_lr: MLP ablation on Boxing; typically weaker than CNN on pixel observations. Mean reward: -33.20 +/- 3.19.
Raissa,raissa_exp05_cnn_high_lr,"lr=0.00025, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.1",raissa_exp05_cnn_high_lr: CNN configuration for Boxing; compare stability and final reward against baseline. Mean reward: -1.40 +/- 7.34.
Raissa,raissa_exp06_mlp_high_lr,"lr=0.00025, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.1",raissa_exp06_mlp_high_lr: MLP ablation on Boxing; typically weaker than CNN on pixel observations. Mean reward: -41.00 +/- 0.00.
Raissa,raissa_exp07_cnn_slow_eps,"lr=0.0001, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.1, epsilon_decay=0.5",raissa_exp07_cnn_slow_eps: CNN configuration for Boxing; compare stability and final reward against baseline. Mean reward: 3.00 +/- 1.41.
Raissa,raissa_exp08_mlp_slow_eps,"lr=0.0001, gamma=0.99, batch=32, epsilon_start=1.0, epsilon_end=0.1, epsilon_decay=0.5",raissa_exp08_mlp_slow_eps: MLP ablation on Boxing; typically weaker than CNN on pixel observations. Mean reward: -3.20 +/- 9.45.
Raissa,raissa_exp09_cnn_large_batch,"lr=0.0001, gamma=0.99, batch=128, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.1",raissa_exp09_cnn_large_batch: CNN configuration for Boxing; compare stability and final reward against baseline. Mean reward: -2.20 +/- 6.49.
Raissa,raissa_exp10_mlp_large_batch,"lr=0.0001, gamma=0.99, batch=128, epsilon_start=1.0, epsilon_end=0.05, epsilon_decay=0.1",raissa_exp10_mlp_large_batch: MLP ablation on Boxing; typically weaker than CNN on pixel observations. Mean reward: -17.40 +/- 3.61.
